_id,numero_de_camisa_preferido,tamanho_do_sapato,quantidade_de_filhos,altura,peso,cidade_de_nascimento,renda,comida_favorita,bebida_favorita,look_que_mais_combina,videogame_favorito,tempo_de_associacao_torcedor_m,modalidade_esportiva_interesse,interesse_em_merchandising,canal_de_comunicacao_preferido
481,12,24,7,194,109,rio_de_janeiro,0 a 1500,Tacos,Refrigerante,casual,call_of_duty,8,tenis,verdadeiro,whatsapp
482,3,24,5,201,111,paraná,1501 a 2500,Hambúrguer,Leite,alternativo,fifa,40,futebol,falso,sms
483,8,36,3,210,114,goiás,0 a 1500,Tacos,Café,vintage,minecraft,40,atletismo,verdadeiro,email
484,16,35,2,163,87,rio_grande_do_norte,2501 a 5000,Churrasco,Refrigerante,vintage,fifa,26,natação,verdadeiro,whatsapp
485,2,28,6,190,115,amazonas,0 a 1500,Tacos,Suco,moderno,fifa,55,tenis,verdadeiro,email
486,23,42,1,170,124,maranhão,0 a 1500,Acarajé,Água,urbano,pes,5,basquete,falso,email
487,3,41,1,178,42,distrito_federal,0 a 1500,Feijoada,Smoothie,urbano,minecraft,21,boxe,falso,sms
488,13,38,6,185,87,distrito_federal,0 a 1500,Salada,Suco,esportivo,fortnite,50,basquete,verdadeiro,whatsapp
489,26,32,4,170,110,mato_grosso,1501 a 2500,Lasanha,Cerveja,vintage,pes,48,tenis,verdadeiro,whatsapp
490,3,20,4,193,54,bahia,0 a 1500,Churrasco,Cerveja,esportivo,fifa,45,boxe,falso,whatsapp
491,11,25,7,153,102,ceará,1501 a 2500,Churrasco,Chá,moderno,minecraft,53,natação,verdadeiro,sms
492,22,24,3,170,85,ceará,0 a 1500,Acarajé,Leite,moderno,call_of_duty,8,atletismo,verdadeiro,whatsapp
493,3,40,4,176,66,mato_grosso_do_sul,0 a 1500,Feijoada,Vinho,alternativo,fifa,53,natação,verdadeiro,whatsapp
494,14,30,2,188,42,mato_grosso_do_sul,0 a 1500,Tacos,Chá,alternativo,call_of_duty,20,tenis,falso,sms
495,11,43,3,201,75,pará,0 a 1500,Feijoada,Cerveja,moderno,fortnite,50,futebol,falso,whatsapp
496,20,40,7,173,64,pará,0 a 1500,Tacos,Refrigerante,casual,pes,0,futebol,verdadeiro,whatsapp
497,7,33,1,155,44,acre,0 a 1500,Acarajé,Café,casual,minecraft,66,basquete,verdadeiro,email
498,9,25,3,171,55,pará,1501 a 2500,Salada,Caipirinha,esportivo,fortnite,21,futebol,falso,sms
499,25,36,5,168,54,alagoas,1501 a 2500,Bacalhau,Suco,elegante,fifa,25,atletismo,verdadeiro,email
500,18,41,6,184,67,rio_de_janeiro,0 a 1500,Churrasco,Cerveja,casual,minecraft,66,atletismo,verdadeiro,whatsapp
501,20,36,7,197,98,mato_grosso,0 a 1500,Salada,Leite,moderno,fifa,47,futebol,verdadeiro,email
502,18,28,4,163,41,piauí,5001 a 10000,Lasanha,Água,vintage,minecraft,43,ciclismo,verdadeiro,whatsapp
503,6,39,4,211,79,bahia,1501 a 2500,Sushi,Cerveja,elegante,call_of_duty,53,atletismo,verdadeiro,whatsapp
504,6,36,5,208,73,paraíba,1501 a 2500,Pizza,Cerveja,alternativo,fortnite,32,natação,falso,email
505,3,22,3,197,100,pernambuco,0 a 1500,Lasanha,Água,urbano,minecraft,18,futebol,verdadeiro,whatsapp
506,20,36,1,154,101,paraná,1501 a 2500,Salada,Suco,esportivo,fortnite,47,atletismo,verdadeiro,whatsapp
507,23,30,5,205,128,mato_grosso_do_sul,1501 a 2500,Churrasco,Refrigerante,esportivo,minecraft,51,ciclismo,falso,email
508,6,43,4,190,41,rio_de_janeiro,2501 a 5000,Salada,Leite,vintage,call_of_duty,33,atletismo,verdadeiro,whatsapp
509,21,27,4,193,104,alagoas,0 a 1500,Feijoada,Refrigerante,vintage,fifa,31,atletismo,falso,email
510,13,35,4,204,85,paraná,1501 a 2500,Sushi,Caipirinha,esportivo,minecraft,8,golfe,falso,whatsapp
511,16,21,3,186,115,pará,1501 a 2500,Pizza,Cerveja,elegante,minecraft,61,tenis,falso,sms
512,23,41,3,158,46,roraima,0 a 1500,Churrasco,Caipirinha,casual,fifa,6,boxe,falso,sms
513,7,32,6,183,63,roraima,1501 a 2500,Tacos,Caipirinha,vintage,call_of_duty,48,natação,falso,whatsapp
514,15,35,1,202,84,rio_de_janeiro,2501 a 5000,Lasanha,Refrigerante,urbano,call_of_duty,25,futebol,falso,email
515,3,31,2,172,125,rio_de_janeiro,0 a 1500,Bacalhau,Caipirinha,moderno,minecraft,2,tenis,verdadeiro,whatsapp
516,24,26,7,200,90,paraná,2501 a 5000,Lasanha,Caipirinha,moderno,minecraft,37,atletismo,verdadeiro,email
517,12,42,4,170,110,rio_grande_do_sul,0 a 1500,Lasanha,Café,alternativo,call_of_duty,35,volei,verdadeiro,whatsapp
518,8,29,1,157,78,paraíba,0 a 1500,Salada,Caipirinha,urbano,fifa,20,golfe,falso,sms
519,22,40,1,192,110,piauí,0 a 1500,Lasanha,Vinho,elegante,fortnite,31,atletismo,verdadeiro,whatsapp
520,15,35,2,157,45,maranhão,0 a 1500,Sushi,Caipirinha,urbano,fifa,45,golfe,verdadeiro,whatsapp
521,4,38,5,199,68,rondônia,0 a 1500,Pizza,Vinho,esportivo,minecraft,21,ciclismo,verdadeiro,whatsapp
522,25,25,7,192,54,piauí,1501 a 2500,Tacos,Refrigerante,urbano,minecraft,12,basquete,verdadeiro,sms
523,21,34,6,199,71,rio_grande_do_sul,0 a 1500,Pizza,Chá,casual,pes,31,futebol,falso,email
524,15,43,1,182,61,sergipe,1501 a 2500,Salada,Vinho,esportivo,fortnite,24,boxe,falso,sms
525,15,30,3,187,43,pará,0 a 1500,Hambúrguer,Vinho,esportivo,fifa,54,atletismo,verdadeiro,email
526,5,34,3,193,91,piauí,0 a 1500,Pizza,Café,vintage,minecraft,56,golfe,verdadeiro,whatsapp
527,14,27,6,155,122,paraíba,0 a 1500,Pizza,Água,esportivo,call_of_duty,60,natação,falso,sms
528,16,22,7,153,61,paraíba,0 a 1500,Sushi,Caipirinha,vintage,fortnite,54,volei,verdadeiro,email
529,13,36,3,189,49,distrito_federal,0 a 1500,Lasanha,Refrigerante,alternativo,call_of_duty,46,volei,falso,sms
530,13,36,4,201,123,piauí,1501 a 2500,Feijoada,Caipirinha,esportivo,minecraft,31,boxe,falso,whatsapp
531,8,27,7,171,97,tocantins,1501 a 2500,Salada,Chá,moderno,minecraft,32,ciclismo,verdadeiro,whatsapp
532,22,28,5,158,92,rio_grande_do_norte,0 a 1500,Tacos,Água,alternativo,call_of_duty,59,natação,verdadeiro,sms
533,18,29,4,181,67,tocantins,0 a 1500,Lasanha,Cerveja,moderno,fortnite,5,tenis,verdadeiro,whatsapp
534,23,42,3,207,55,alagoas,0 a 1500,Salada,Suco,esportivo,minecraft,60,basquete,falso,email
535,23,41,1,190,99,ceará,1501 a 2500,Salada,Água,vintage,fortnite,36,natação,verdadeiro,email
536,7,38,1,158,78,paraná,0 a 1500,Sushi,Chá,esportivo,call_of_duty,29,golfe,falso,email
537,2,41,2,190,47,paraíba,5001 a 10000,Tacos,Cerveja,casual,pes,26,golfe,falso,whatsapp
538,1,31,7,210,95,mato_grosso,0 a 1500,Feijoada,Leite,vintage,fifa,35,atletismo,falso,email
539,22,35,1,201,65,são_paulo,2501 a 5000,Feijoada,Chá,alternativo,fortnite,21,boxe,falso,email
540,5,28,6,165,83,paraná,0 a 1500,Pizza,Suco,esportivo,minecraft,54,basquete,falso,email
541,5,26,6,185,58,ceará,0 a 1500,Hambúrguer,Chá,alternativo,pes,61,natação,verdadeiro,sms
542,15,37,7,171,114,roraima,0 a 1500,Pizza,Leite,urbano,fifa,51,basquete,falso,email
543,10,43,2,153,123,amazonas,0 a 1500,Feijoada,Café,vintage,minecraft,22,volei,falso,whatsapp
544,26,33,4,208,75,pará,0 a 1500,Sushi,Smoothie,elegante,pes,37,golfe,verdadeiro,email
545,16,43,5,196,106,espírito_santo,1501 a 2500,Sushi,Refrigerante,casual,fortnite,53,natação,verdadeiro,sms
546,15,41,1,193,43,alagoas,0 a 1500,Sushi,Suco,moderno,call_of_duty,0,tenis,verdadeiro,whatsapp
547,17,43,4,203,69,paraná,0 a 1500,Acarajé,Vinho,urbano,pes,30,atletismo,falso,whatsapp
548,14,41,5,191,108,piauí,0 a 1500,Acarajé,Leite,urbano,minecraft,19,natação,verdadeiro,email
549,19,42,7,192,117,paraíba,5001 a 10000,Bacalhau,Café,moderno,call_of_duty,64,futebol,verdadeiro,email
550,24,41,3,210,88,bahia,1501 a 2500,Lasanha,Chá,alternativo,fortnite,0,volei,verdadeiro,sms
551,15,22,7,194,68,sergipe,0 a 1500,Lasanha,Caipirinha,vintage,fifa,55,golfe,falso,whatsapp
552,25,37,4,205,79,rio_de_janeiro,0 a 1500,Feijoada,Água,vintage,minecraft,60,volei,falso,whatsapp
553,3,33,3,177,107,rondônia,1501 a 2500,Sushi,Chá,elegante,minecraft,64,natação,verdadeiro,whatsapp
554,8,39,3,203,96,piauí,0 a 1500,Feijoada,Cerveja,casual,fortnite,13,futebol,verdadeiro,email
555,17,28,4,210,80,pernambuco,0 a 1500,Hambúrguer,Chá,urbano,minecraft,47,boxe,falso,sms
556,16,32,2,154,118,goiás,1501 a 2500,Pizza,Água,elegante,fifa,39,volei,falso,sms
557,1,36,4,177,44,rio_grande_do_norte,0 a 1500,Sushi,Suco,casual,pes,35,natação,falso,email
558,25,37,6,199,74,são_paulo,1501 a 2500,Sushi,Suco,urbano,minecraft,61,golfe,falso,email
559,2,41,6,161,127,mato_grosso_do_sul,1501 a 2500,Churrasco,Água,casual,fortnite,8,boxe,verdadeiro,whatsapp
560,15,34,5,195,71,são_paulo,0 a 1500,Feijoada,Caipirinha,esportivo,minecraft,36,tenis,falso,sms
561,26,31,2,177,91,distrito_federal,1501 a 2500,Salada,Cerveja,vintage,minecraft,57,volei,falso,email
562,17,33,5,199,80,santa_catarina,0 a 1500,Lasanha,Refrigerante,vintage,pes,54,tenis,falso,sms
563,14,26,5,201,86,ceará,1501 a 2500,Feijoada,Leite,moderno,minecraft,47,ciclismo,falso,email
564,12,30,4,198,70,santa_catarina,1501 a 2500,Lasanha,Chá,urbano,fifa,31,ciclismo,verdadeiro,whatsapp
565,14,43,2,180,48,rio_grande_do_norte,0 a 1500,Tacos,Leite,casual,fortnite,52,volei,verdadeiro,sms
566,1,32,3,161,56,espírito_santo,2501 a 5000,Tacos,Água,vintage,fifa,1,tenis,verdadeiro,whatsapp
567,23,29,4,199,50,mato_grosso_do_sul,0 a 1500,Feijoada,Caipirinha,urbano,call_of_duty,19,natação,verdadeiro,whatsapp
568,6,38,4,169,74,minas_gerais,0 a 1500,Hambúrguer,Caipirinha,elegante,call_of_duty,55,boxe,falso,sms
569,23,33,6,206,124,mato_grosso_do_sul,0 a 1500,Churrasco,Chá,esportivo,minecraft,66,ciclismo,falso,whatsapp
570,8,36,2,195,62,paraná,1501 a 2500,Pizza,Vinho,urbano,minecraft,34,natação,verdadeiro,sms
571,1,26,3,183,107,piauí,1501 a 2500,Pizza,Cerveja,vintage,minecraft,59,golfe,verdadeiro,whatsapp
572,6,37,1,159,49,rio_de_janeiro,1501 a 2500,Hambúrguer,Refrigerante,vintage,pes,5,volei,falso,whatsapp
573,4,26,3,197,54,alagoas,1501 a 2500,Sushi,Refrigerante,esportivo,fortnite,26,atletismo,verdadeiro,email
574,26,39,1,177,77,maranhão,0 a 1500,Feijoada,Suco,alternativo,fifa,24,ciclismo,verdadeiro,whatsapp
575,11,38,5,206,91,rio_de_janeiro,0 a 1500,Salada,Caipirinha,elegante,fifa,35,ciclismo,verdadeiro,email
576,4,27,3,209,108,alagoas,0 a 1500,Bacalhau,Caipirinha,vintage,minecraft,57,basquete,verdadeiro,sms
577,5,43,1,176,128,alagoas,1501 a 2500,Feijoada,Smoothie,casual,call_of_duty,6,futebol,verdadeiro,sms
578,12,25,6,204,107,alagoas,0 a 1500,Hambúrguer,Café,elegante,call_of_duty,32,natação,verdadeiro,email
579,9,32,3,205,59,acre,5001 a 10000,Feijoada,Leite,casual,fortnite,26,ciclismo,falso,whatsapp
580,22,28,4,197,123,minas_gerais,0 a 1500,Acarajé,Caipirinha,moderno,call_of_duty,55,boxe,falso,whatsapp
581,10,32,6,167,98,paraíba,0 a 1500,Feijoada,Chá,elegante,pes,16,futebol,verdadeiro,email
582,25,23,6,169,110,ceará,1501 a 2500,Pizza,Suco,casual,pes,22,atletismo,falso,email
583,21,23,5,198,125,são_paulo,0 a 1500,Churrasco,Cerveja,alternativo,call_of_duty,41,futebol,falso,sms
584,22,21,5,204,94,sergipe,0 a 1500,Tacos,Água,vintage,fifa,46,volei,verdadeiro,sms
585,2,36,1,173,111,mato_grosso_do_sul,0 a 1500,Bacalhau,Café,vintage,minecraft,51,natação,falso,whatsapp
586,10,26,3,198,60,rio_grande_do_norte,0 a 1500,Hambúrguer,Smoothie,moderno,pes,34,volei,falso,sms
587,24,38,1,185,42,piauí,0 a 1500,Feijoada,Chá,vintage,fortnite,30,natação,verdadeiro,email
588,6,27,2,156,82,alagoas,1501 a 2500,Salada,Refrigerante,esportivo,pes,62,volei,verdadeiro,sms
589,1,36,2,211,104,sergipe,1501 a 2500,Lasanha,Refrigerante,urbano,minecraft,14,atletismo,verdadeiro,sms
590,20,27,2,180,98,são_paulo,0 a 1500,Lasanha,Smoothie,moderno,call_of_duty,24,tenis,falso,email
591,5,30,4,170,81,espírito_santo,1501 a 2500,Feijoada,Smoothie,urbano,pes,37,volei,verdadeiro,whatsapp
592,10,24,1,186,87,rio_de_janeiro,0 a 1500,Feijoada,Café,urbano,minecraft,0,atletismo,verdadeiro,whatsapp
593,21,39,5,201,101,maranhão,1501 a 2500,Salada,Caipirinha,casual,fifa,59,volei,verdadeiro,email
594,17,40,6,209,109,mato_grosso,0 a 1500,Sushi,Smoothie,elegante,minecraft,34,golfe,verdadeiro,email
595,16,22,3,203,107,rio_grande_do_norte,0 a 1500,Hambúrguer,Vinho,moderno,minecraft,10,futebol,falso,whatsapp
596,7,40,2,175,95,rio_de_janeiro,5001 a 10000,Hambúrguer,Vinho,alternativo,fortnite,14,natação,verdadeiro,sms
597,6,20,1,172,77,maranhão,1501 a 2500,Churrasco,Água,esportivo,fortnite,59,ciclismo,verdadeiro,sms
598,20,26,1,199,123,minas_gerais,0 a 1500,Acarajé,Smoothie,esportivo,pes,64,basquete,verdadeiro,email
599,19,20,1,189,49,piauí,0 a 1500,Acarajé,Suco,casual,fifa,61,tenis,verdadeiro,sms
600,19,30,5,156,55,mato_grosso,1501 a 2500,Salada,Leite,esportivo,pes,35,basquete,falso,sms
601,4,38,3,200,89,mato_grosso_do_sul,1501 a 2500,Lasanha,Água,casual,call_of_duty,20,atletismo,verdadeiro,whatsapp
602,13,28,5,179,52,bahia,0 a 1500,Salada,Cerveja,casual,fifa,43,natação,falso,whatsapp
603,17,34,2,179,103,pará,0 a 1500,Salada,Smoothie,urbano,fifa,47,basquete,falso,whatsapp
604,11,42,7,155,78,pernambuco,0 a 1500,Pizza,Vinho,moderno,call_of_duty,16,atletismo,falso,email
605,7,41,6,187,100,amazonas,0 a 1500,Lasanha,Vinho,moderno,pes,4,basquete,verdadeiro,sms
606,8,31,3,171,62,rio_grande_do_sul,1501 a 2500,Feijoada,Água,alternativo,minecraft,46,natação,verdadeiro,sms
607,14,26,1,203,53,paraíba,1501 a 2500,Hambúrguer,Refrigerante,casual,fortnite,55,futebol,falso,whatsapp
608,24,37,5,206,74,rondônia,0 a 1500,Lasanha,Cerveja,alternativo,minecraft,54,boxe,verdadeiro,whatsapp
609,2,37,3,163,41,maranhão,0 a 1500,Churrasco,Cerveja,elegante,fortnite,23,tenis,verdadeiro,whatsapp
610,12,24,2,197,124,santa_catarina,0 a 1500,Acarajé,Smoothie,moderno,minecraft,5,volei,falso,email
611,11,27,3,197,45,pará,1501 a 2500,Acarajé,Smoothie,elegante,fifa,28,boxe,verdadeiro,sms
612,2,22,3,176,95,pará,2501 a 5000,Sushi,Chá,esportivo,fortnite,25,futebol,falso,sms
613,16,27,4,195,71,alagoas,0 a 1500,Acarajé,Água,vintage,fifa,31,natação,falso,email
614,11,31,2,157,94,mato_grosso_do_sul,1501 a 2500,Lasanha,Cerveja,alternativo,minecraft,23,futebol,falso,email
615,20,20,7,161,128,são_paulo,2501 a 5000,Churrasco,Vinho,moderno,fifa,22,volei,verdadeiro,whatsapp
616,11,26,2,193,42,paraíba,1501 a 2500,Pizza,Smoothie,urbano,pes,11,futebol,falso,email
617,12,25,2,168,63,mato_grosso_do_sul,1501 a 2500,Sushi,Caipirinha,vintage,pes,53,atletismo,verdadeiro,whatsapp
618,8,21,3,162,96,mato_grosso_do_sul,2501 a 5000,Salada,Cerveja,casual,call_of_duty,31,volei,falso,sms
619,22,38,4,186,59,pará,1501 a 2500,Lasanha,Refrigerante,elegante,fortnite,29,volei,verdadeiro,email
620,16,32,7,173,66,rio_grande_do_sul,1501 a 2500,Churrasco,Vinho,casual,call_of_duty,66,tenis,verdadeiro,whatsapp
621,4,26,2,194,119,pará,1501 a 2500,Lasanha,Caipirinha,moderno,fortnite,33,futebol,verdadeiro,email
622,22,30,1,202,93,distrito_federal,0 a 1500,Acarajé,Cerveja,esportivo,pes,64,natação,verdadeiro,sms
623,15,32,5,198,95,amapá,0 a 1500,Tacos,Cerveja,alternativo,fortnite,37,boxe,verdadeiro,whatsapp
624,5,24,3,194,64,rio_grande_do_sul,1501 a 2500,Bacalhau,Chá,urbano,fortnite,43,boxe,falso,whatsapp
625,25,33,5,178,109,amapá,2501 a 5000,Feijoada,Smoothie,esportivo,minecraft,33,volei,falso,sms
626,12,33,5,185,68,tocantins,2501 a 5000,Hambúrguer,Leite,alternativo,minecraft,23,boxe,verdadeiro,whatsapp
627,13,29,2,197,99,ceará,0 a 1500,Sushi,Leite,urbano,minecraft,25,basquete,verdadeiro,sms
628,10,37,3,198,93,distrito_federal,0 a 1500,Churrasco,Refrigerante,elegante,pes,36,volei,falso,whatsapp
629,10,27,6,183,81,bahia,0 a 1500,Churrasco,Cerveja,casual,call_of_duty,33,boxe,falso,email
630,3,33,3,180,41,amapá,0 a 1500,Salada,Refrigerante,moderno,call_of_duty,47,natação,falso,email
631,23,25,4,205,88,pará,0 a 1500,Salada,Água,vintage,call_of_duty,1,futebol,falso,sms
632,18,20,6,155,58,minas_gerais,0 a 1500,Bacalhau,Cerveja,esportivo,call_of_duty,26,basquete,verdadeiro,sms
633,15,24,3,176,72,são_paulo,1501 a 2500,Sushi,Suco,vintage,minecraft,61,golfe,falso,whatsapp
634,20,24,7,161,101,tocantins,0 a 1500,Lasanha,Café,moderno,call_of_duty,11,volei,verdadeiro,whatsapp
635,7,22,3,190,69,sergipe,0 a 1500,Feijoada,Leite,urbano,pes,54,futebol,verdadeiro,sms
636,8,34,7,190,84,minas_gerais,0 a 1500,Pizza,Água,urbano,fifa,32,boxe,falso,sms
637,7,39,2,157,92,mato_grosso_do_sul,0 a 1500,Feijoada,Refrigerante,urbano,pes,54,ciclismo,verdadeiro,whatsapp
638,3,30,4,175,91,rio_grande_do_sul,0 a 1500,Acarajé,Leite,esportivo,minecraft,2,golfe,falso,sms
639,25,38,2,165,111,rio_grande_do_norte,0 a 1500,Tacos,Caipirinha,urbano,fifa,2,atletismo,falso,sms
640,6,26,3,179,124,acre,0 a 1500,Lasanha,Água,alternativo,fifa,65,natação,falso,email
641,9,37,5,206,51,tocantins,0 a 1500,Salada,Água,urbano,fifa,7,basquete,verdadeiro,sms
642,16,22,6,187,83,piauí,2501 a 5000,Churrasco,Suco,urbano,fortnite,50,volei,verdadeiro,email
643,26,32,4,196,49,ceará,0 a 1500,Tacos,Chá,elegante,pes,13,golfe,verdadeiro,email
644,6,31,5,190,96,santa_catarina,0 a 1500,Lasanha,Caipirinha,vintage,call_of_duty,57,volei,verdadeiro,whatsapp
645,20,41,6,191,80,minas_gerais,0 a 1500,Sushi,Café,moderno,fifa,6,boxe,falso,sms
646,5,22,6,199,117,amazonas,0 a 1500,Bacalhau,Smoothie,urbano,pes,19,natação,falso,whatsapp
647,3,22,4,192,72,rio_grande_do_norte,0 a 1500,Lasanha,Chá,esportivo,fifa,61,volei,falso,email
648,4,28,3,169,83,sergipe,0 a 1500,Acarajé,Água,moderno,fortnite,22,volei,verdadeiro,whatsapp
649,20,24,2,163,79,maranhão,2501 a 5000,Feijoada,Leite,casual,call_of_duty,4,ciclismo,verdadeiro,email
650,18,21,3,198,41,mato_grosso,0 a 1500,Bacalhau,Café,vintage,fifa,10,natação,verdadeiro,whatsapp
651,13,33,7,183,55,paraná,0 a 1500,Salada,Café,moderno,call_of_duty,36,golfe,falso,sms
652,13,24,4,188,47,amazonas,0 a 1500,Salada,Leite,casual,call_of_duty,21,ciclismo,falso,whatsapp
653,16,43,7,171,107,maranhão,0 a 1500,Pizza,Vinho,esportivo,call_of_duty,20,volei,verdadeiro,sms
654,9,31,4,199,105,rondônia,1501 a 2500,Feijoada,Caipirinha,casual,minecraft,31,ciclismo,verdadeiro,sms
655,4,24,2,195,54,paraíba,0 a 1500,Bacalhau,Caipirinha,casual,pes,25,tenis,falso,email
656,1,41,5,196,66,rio_grande_do_norte,0 a 1500,Sushi,Caipirinha,urbano,pes,29,natação,falso,email
657,17,32,4,167,119,paraíba,0 a 1500,Lasanha,Cerveja,alternativo,fifa,11,ciclismo,verdadeiro,email
658,7,22,1,208,51,amapá,0 a 1500,Tacos,Café,vintage,fifa,39,futebol,verdadeiro,whatsapp
659,9,42,2,197,52,santa_catarina,0 a 1500,Acarajé,Café,alternativo,fifa,67,boxe,falso,email
660,15,39,5,163,97,minas_gerais,0 a 1500,Feijoada,Água,elegante,pes,2,tenis,falso,sms
661,10,36,4,187,82,maranhão,0 a 1500,Hambúrguer,Leite,esportivo,minecraft,64,basquete,verdadeiro,email
662,24,39,6,186,40,piauí,1501 a 2500,Salada,Vinho,esportivo,call_of_duty,22,futebol,verdadeiro,sms
663,21,40,6,166,78,acre,1501 a 2500,Lasanha,Cerveja,esportivo,fifa,52,futebol,verdadeiro,email
664,24,34,2,164,127,piauí,2501 a 5000,Churrasco,Caipirinha,esportivo,fortnite,59,atletismo,falso,sms
665,5,32,2,208,114,sergipe,0 a 1500,Pizza,Refrigerante,vintage,minecraft,30,golfe,verdadeiro,email
666,25,40,7,206,64,ceará,1501 a 2500,Tacos,Refrigerante,vintage,minecraft,26,ciclismo,verdadeiro,sms
667,3,40,5,189,65,paraíba,0 a 1500,Hambúrguer,Leite,moderno,fortnite,9,natação,falso,sms
668,17,32,6,175,99,alagoas,0 a 1500,Feijoada,Chá,vintage,pes,27,basquete,verdadeiro,sms
669,5,24,1,180,127,rio_grande_do_sul,0 a 1500,Hambúrguer,Chá,elegante,minecraft,41,ciclismo,verdadeiro,sms
670,14,41,1,162,117,mato_grosso_do_sul,1501 a 2500,Bacalhau,Leite,vintage,minecraft,65,natação,falso,email
671,12,21,7,197,51,são_paulo,0 a 1500,Hambúrguer,Cerveja,elegante,fortnite,38,futebol,verdadeiro,sms
672,19,24,1,155,121,pernambuco,0 a 1500,Feijoada,Vinho,casual,fifa,2,basquete,verdadeiro,sms
673,22,26,3,169,43,pernambuco,0 a 1500,Hambúrguer,Café,moderno,minecraft,66,basquete,falso,sms
674,25,21,1,202,98,paraná,2501 a 5000,Pizza,Chá,vintage,call_of_duty,44,basquete,verdadeiro,email
675,20,36,7,166,66,maranhão,0 a 1500,Feijoada,Café,esportivo,minecraft,56,natação,verdadeiro,email
676,22,20,3,166,103,alagoas,0 a 1500,Lasanha,Cerveja,moderno,pes,49,atletismo,falso,whatsapp
677,19,32,5,167,89,amazonas,0 a 1500,Lasanha,Chá,moderno,fortnite,57,natação,verdadeiro,email
678,18,23,5,201,97,rio_grande_do_norte,1501 a 2500,Feijoada,Leite,vintage,fifa,4,natação,falso,whatsapp
679,14,27,1,189,107,acre,0 a 1500,Sushi,Smoothie,elegante,call_of_duty,17,golfe,verdadeiro,email
680,26,30,3,192,68,goiás,0 a 1500,Tacos,Água,casual,call_of_duty,24,basquete,falso,whatsapp
681,18,24,3,182,83,rio_grande_do_sul,1501 a 2500,Churrasco,Caipirinha,elegante,call_of_duty,8,tenis,falso,email
682,17,23,7,187,103,distrito_federal,0 a 1500,Salada,Chá,esportivo,call_of_duty,57,tenis,falso,email
683,18,30,1,195,65,amazonas,1501 a 2500,Acarajé,Vinho,elegante,call_of_duty,36,futebol,verdadeiro,email
684,17,25,2,166,94,santa_catarina,1501 a 2500,Lasanha,Caipirinha,elegante,fifa,15,natação,falso,sms
685,25,20,6,153,42,ceará,1501 a 2500,Churrasco,Refrigerante,vintage,call_of_duty,63,volei,falso,email
686,5,29,6,185,88,amazonas,1501 a 2500,Bacalhau,Café,elegante,fifa,65,futebol,verdadeiro,whatsapp
687,7,24,3,177,94,ceará,2501 a 5000,Salada,Leite,vintage,minecraft,63,volei,verdadeiro,whatsapp
688,8,25,4,173,78,pernambuco,0 a 1500,Tacos,Vinho,esportivo,fifa,1,basquete,falso,sms
689,26,28,3,207,87,mato_grosso,0 a 1500,Bacalhau,Refrigerante,alternativo,call_of_duty,63,natação,verdadeiro,email
690,16,39,3,186,68,amazonas,1501 a 2500,Churrasco,Smoothie,esportivo,fortnite,18,volei,falso,email
691,16,37,3,200,58,ceará,2501 a 5000,Hambúrguer,Leite,elegante,fortnite,48,futebol,verdadeiro,whatsapp
692,23,23,4,191,96,mato_grosso,0 a 1500,Sushi,Caipirinha,esportivo,pes,7,volei,verdadeiro,whatsapp
693,10,30,5,196,54,piauí,1501 a 2500,Pizza,Leite,vintage,pes,9,futebol,falso,sms
694,9,30,7,182,109,distrito_federal,0 a 1500,Lasanha,Leite,casual,call_of_duty,5,tenis,verdadeiro,whatsapp
695,9,39,2,188,81,alagoas,0 a 1500,Feijoada,Chá,vintage,pes,3,futebol,verdadeiro,sms
696,2,35,2,162,104,bahia,1501 a 2500,Salada,Vinho,urbano,pes,6,natação,verdadeiro,whatsapp
697,13,24,1,185,90,alagoas,0 a 1500,Hambúrguer,Leite,casual,pes,54,atletismo,verdadeiro,whatsapp
698,23,22,3,202,81,são_paulo,1501 a 2500,Acarajé,Suco,esportivo,pes,47,basquete,falso,whatsapp
699,19,42,1,180,90,distrito_federal,1501 a 2500,Hambúrguer,Caipirinha,esportivo,fortnite,51,volei,falso,whatsapp
700,1,38,6,154,109,alagoas,0 a 1500,Tacos,Caipirinha,casual,call_of_duty,31,futebol,verdadeiro,email
701,26,27,5,156,41,goiás,0 a 1500,Lasanha,Café,urbano,fortnite,29,volei,falso,email
702,13,28,5,181,44,rio_de_janeiro,1501 a 2500,Salada,Água,moderno,pes,15,volei,verdadeiro,email
703,1,27,6,173,61,distrito_federal,0 a 1500,Sushi,Vinho,moderno,fifa,60,natação,verdadeiro,whatsapp
704,12,21,6,167,45,minas_gerais,0 a 1500,Churrasco,Smoothie,casual,pes,49,volei,verdadeiro,sms
705,12,23,5,204,68,pernambuco,0 a 1500,Tacos,Água,elegante,pes,64,futebol,falso,sms
706,16,22,6,195,73,rio_grande_do_sul,1501 a 2500,Pizza,Suco,urbano,fortnite,8,boxe,falso,whatsapp
707,19,41,1,165,74,rondônia,0 a 1500,Sushi,Smoothie,elegante,pes,31,natação,falso,sms
708,3,32,7,195,85,distrito_federal,2501 a 5000,Lasanha,Água,vintage,minecraft,17,tenis,verdadeiro,sms
709,21,20,2,187,77,são_paulo,0 a 1500,Churrasco,Suco,esportivo,fortnite,52,ciclismo,falso,whatsapp
710,10,30,5,184,66,paraíba,1501 a 2500,Feijoada,Chá,vintage,call_of_duty,3,volei,verdadeiro,email
